,h,b,t,r_o,r_i,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
SHS300x12.5,300,300,12.5,37.5,25,107.6,1136,13704,6852,6852,183500000,115.7,1223000,1451000,183500000,115.7,1223000,1451000,306000000,1892000,cold
SHS300x16,300,300,16,48,32,134.1,1118,17077,8539,8539,220800000,113.7,1472000,1774000,220800000,113.7,1472000,1774000,378400000,2299000,cold
SHS350x8,350,350,8,20,12,84.2,1366,10724,5362,5362,206800000,138.9,1182000,1366000,206800000,138.9,1182000,1366000,325600000,1787000,cold
SHS350x10,350,350,10,25,15,104.1,1357,13257,6628,6628,251900000,137.8,1439000,1675000,251900000,137.8,1439000,1675000,401300000,2182000,cold
SHS350x12,350,350,12,36,24,122.5,1338,15606,7803,7803,290500000,136.4,1660000,1949000,290500000,136.4,1660000,1949000,476000000,2552000,cold
SHS350x12.5,350,350,12.5,37.5,25,127.2,1336,16204,8102,8102,300400000,136.2,1717000,2020000,300400000,136.2,1717000,2020000,493900000,2642000,cold
SHS350x16,350,350,16,48,32,159.2,1318,20277,10139,10139,365100000,134.2,2086000,2488000,365100000,134.2,2086000,2488000,614800000,3238000,cold
SHS400x10,400,400,10,25,15,119.8,1557,15257,7628,7628,382200000,158.3,1911000,2214000,382200000,158.3,1911000,2214000,604300000,2892000,cold
SHS400x12,400,400,12,36,24,141.3,1538,18006,9003,9003,443200000,156.9,2216000,2587000,443200000,156.9,2216000,2587000,718400000,3395000,cold
SHS400x12.5,400,400,12.5,37.5,25,146.8,1536,18704,9352,9352,458800000,156.6,2294000,2683000,458800000,156.6,2294000,2683000,746000000,3518000,cold
SHS400x16,400,400,16,48,32,184.3,1518,23477,11739,11739,561500000,154.7,2808000,3322000,561500000,154.7,2808000,3322000,932800000,4336000,cold
SHS500x12.5,500,500,12.5,37.5,25,186.1,1936,23704,11852,11852,924400000,197.5,3698000,4290000,924400000,197.5,3698000,4290000,1480000000,5643000,cold
SHS500x16,500,500,16,48,32,234.5,1918,29877,14939,14939,1143000000,195.6,4570000,5350000,1143000000,195.6,4570000,5350000,1861000000,7013000,cold
SHS500x20,500,500,20,60,40,288,1897,36683,18342,18342,1371000000,193.3,5484000,6488000,1371000000,193.3,5484000,6488000,2277000000,8469000,cold
SHS600x12.5,600,600,12.5,37.5,25,225.3,2336,28704,14352,14352,1631000000,238.3,5435000,6272000,1631000000,238.3,5435000,6272000,2583000000,8268000,cold
SHS600x16,600,600,16,48,32,284.8,2318,36277,18139,18139,2028000000,236.4,6760000,7859000,2028000000,236.4,6760000,7859000,3260000000,10330000,cold
SHS600x20,600,600,20,60,40,350.8,2297,44683,22342,22342,2451000000,234.2,8171000,9583000,2451000000,234.2,8171000,9583000,4007000000,12550000,cold
SHS40x2.6,40,40,2.6,3.9,2.6,3,153,382,191,191,87970,15.2,4399,5312,87970,15.2,4399,5312,140300,6407,hot
