,h,b,tw,tf,r,m,P,A,Avz,Avy,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
UB914x305x239,915,305,16.5,25.9,19,238.3,2.984,30355,17091,15799,4065000000,365.9,8885000,10230000,122900000,63.6,805600,1267000,5150000,312100,2.43E+13,358400000
UB914x305x253,918,306,17.3,27.9,19,253.4,2.991,32283,17908,17047,4363000000,367.6,9501000,10940000,133000000,64.2,870800,1371000,6260000,361800,2.64E+13,388200000
UB914x305x271,923,307,18.4,30,19,271.7,3.004,34612,19055,18420,4716000000,369.1,10220000,11780000,145200000,64.8,945800,1491000,7700000,418500,2.89E+13,421700000
UB914x305x289,927,308,19.5,32,19,289.1,3.012,36827,20185,19693,5042000000,370,10880000,12570000,156000000,65.1,1014000,1601000,9260000,474900,3.12E+13,453400000
UB914x305x313,932,309,21.1,34.5,19,312.8,3.025,39843,21851,21321,5483000000,371,11770000,13630000,170400000,65.4,1103000,1748000,11620000,550700,3.43E+13,494700000
UB914x419x343,912,418,19.4,32,24,343.3,3.417,43730,19737,26784,6258000000,378.3,13730000,15480000,391600000,94.6,1871000,2890000,11930000,614900,7.58E+13,823500000
UB914x419x365,916,419,20.3,34.3,24,364.8,3.428,46472,20643,28771,6711000000,380,14650000,16540000,422400000,95.3,2015000,3112000,14420000,710300,8.21E+13,888100000
UB914x419x388,921,420,21.4,36.6,24,388,3.44,49422,21772,30781,7196000000,381.6,15630000,17670000,454400000,95.9,2161000,3341000,17340000,810300,8.89E+13,956200000
UB1016x305x222,970,300,16,21.1,30,222,3.057,28282,17820,12660,4080000000,379.8,8409000,9807000,95460000,58.1,636400,1020000,3900000,243800,2.15E+13,302000000
UB1016x305x249,980,300,16.5,26,30,248.7,3.076,31686,18376,15600,4812000000,389.7,9819000,11350000,117500000,60.9,783600,1245000,5820000,352700,2.68E+13,374500000
UB1016x305x272,990,300,16.5,31,30,272.3,3.096,34686,18458,18600,5540000000,399.6,11190000,12830000,140000000,63.5,933600,1470000,8350000,506100,3.22E+13,447600000
UB1016x305x314,1000,300,19.1,35.9,30,314.3,3.11,40039,21339,21540,6441000000,401.1,12880000,14850000,162300000,63.7,1082000,1713000,12640000,661800,3.77E+13,521400000
UB1016x305x349,1008,302,21.1,40,30,349.4,3.13,44515,23599,24160,7231000000,403,14350000,16590000,184600000,64.4,1223000,1941000,17180000,814200,4.33E+13,592400000
UB1016x305x393,1016,303,24.4,43.9,30,392.7,3.143,50022,27175,26603,8075000000,401.8,15900000,18540000,205000000,64,1353000,2168000,23300000,954900,4.84E+13,657300000
UB1016x305x437,1026,305,26.9,49,30,437,3.168,55668,29997,29929,9103000000,404.4,17740000,20770000,234500000,64.9,1535000,2469000,31850000,1184000,5.60E+13,750700000
UB1016x305x487,1036,308,30,54.1,30,486.7,3.195,61995,33485,33380,10220000000,406,19720000,23210000,267200000,65.7,1732000,2800000,42990000,1433000,6.44E+13,850100000
