,D,t,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
CHS219.1x6.3,219.1,6.3,33.1,0.688,4212,2681,2681,23860000,75.3,217800,285400,23860000,75.3,217800,285400,47720000,435600,cold
CHS219.1x8,219.1,8,41.6,0.688,5306,3378,3378,29600000,74.7,270200,356700,29600000,74.7,270200,356700,59190000,540300,cold
CHS219.1x10,219.1,10,51.6,0.688,6569,4182,4182,35980000,74,328500,437600,35980000,74,328500,437600,71970000,656900,cold
CHS219.1x12,219.1,12,61.3,0.688,7807,4970,4970,42000000,73.3,383400,515300,42000000,73.3,383400,515300,84000000,766800,cold
CHS219.1x12.5,219.1,12.5,63.7,0.688,8113,5165,5165,43450000,73.2,396600,534200,43450000,73.2,396600,534200,86890000,793200,cold
CHS244.5x5,244.5,5,29.5,0.768,3762,2395,2395,26990000,84.7,220700,286800,26990000,84.7,220700,286800,53970000,441500,cold
CHS244.5x6,244.5,6,35.3,0.768,4496,2862,2862,31990000,84.3,261600,341400,31990000,84.3,261600,341400,63970000,523300,cold
CHS244.5x6.3,244.5,6.3,37,0.768,4714,3001,3001,33460000,84.2,273700,357500,33460000,84.2,273700,357500,66920000,547400,cold
CHS244.5x8,244.5,8,46.7,0.768,5944,3784,3784,41600000,83.7,340300,447600,41600000,83.7,340300,447600,83210000,680600,cold
CHS244.5x10,244.5,10,57.8,0.768,7367,4690,4690,50730000,83,415000,550200,50730000,83,415000,550200,101500000,830000,cold
CHS244.5x12,244.5,12,68.8,0.768,8765,5580,5580,59380000,82.3,485800,649300,59380000,82.3,485800,649300,118800000,971500,cold
CHS244.5x12.5,244.5,12.5,71.5,0.768,9111,5800,5800,61470000,82.1,502900,673500,61470000,82.1,502900,673500,122900000,1006000,cold
CHS273x5,273,5,33,0.858,4210,2680,2680,37810000,94.8,277000,359200,37810000,94.8,277000,359200,75620000,554000,cold
CHS273x6,273,6,39.5,0.858,5033,3204,3204,44870000,94.4,328700,427800,44870000,94.4,328700,427800,89740000,657400,cold
CHS273x6.3,273,6.3,41.4,0.858,5279,3360,3360,46960000,94.3,344000,448200,46960000,94.3,344000,448200,93920000,688000,cold
CHS273x8,273,8,52.3,0.858,6660,4240,4240,58520000,93.7,428700,562000,58520000,93.7,428700,562000,117000000,857400,cold
CHS273x10,273,10,64.9,0.858,8262,5260,5260,71540000,93.1,524100,692000,71540000,93.1,524100,692000,143100000,1048000,cold
CHS273x12,273,12,77.2,0.858,9839,6264,6264,83960000,92.4,615100,818000,83960000,92.4,615100,818000,167900000,1230000,cold
CHS273x12.5,273,12.5,80.3,0.858,10230,6512,6512,86970000,92.2,637200,848900,86970000,92.2,637200,848900,173900000,1274000,cold
CHS323.9x5,323.9,5,39.3,1.018,5009,3189,3189,63690000,112.8,393300,508500,63690000,112.8,393300,508500,127400000,786600,cold
CHS323.9x6,323.9,6,47,1.018,5992,3815,3815,75720000,112.4,467600,606400,75720000,112.4,467600,606400,151400000,935200,cold
CHS323.9x6.3,323.9,6.3,49.3,1.018,6286,4002,4002,79290000,112.3,489600,635600,79290000,112.3,489600,635600,158600000,979200,cold
CHS323.9x8,323.9,8,62.3,1.018,7939,5054,5054,99100000,111.7,611900,798500,99100000,111.7,611900,798500,198200000,1224000,cold
CHS323.9x10,323.9,10,77.4,1.018,9861,6278,6278,121600000,111,750700,985700,121600000,111,750700,985700,243200000,1501000,cold
CHS323.9x12,323.9,12,92.3,1.018,11758,7486,7486,143200000,110.4,884200,1168000,143200000,110.4,884200,1168000,286400000,1768000,cold
CHS323.9x12.5,323.9,12.5,96,1.018,12229,7785,7785,148500000,110.2,916700,1213000,148500000,110.2,916700,1213000,296900000,1833000,cold
CHS355.6x5,355.6,5,43.2,1.117,5507,3506,3506,84640000,124,476000,614600,84640000,124,476000,614600,169300000,952000,cold
CHS355.6x6,355.6,6,51.7,1.117,6590,4195,4195,100700000,123.6,566400,733400,100700000,123.6,566400,733400,201400000,1133000,cold
CHS355.6x6.3,355.6,6.3,54.3,1.117,6913,4401,4401,105500000,123.5,593200,768700,105500000,123.5,593200,768700,210900000,1186000,cold
CHS355.6x8,355.6,8,68.6,1.117,8736,5562,5562,132000000,122.9,742500,966800,132000000,122.9,742500,966800,264000000,1485000,cold
CHS355.6x10,355.6,10,85.2,1.117,10857,6912,6912,162200000,122.2,912500,1195000,162200000,122.2,912500,1195000,324500000,1825000,cold
CHS355.6x12,355.6,12,101.7,1.117,12953,8246,8246,191400000,121.6,1076000,1417000,191400000,121.6,1076000,1417000,382800000,2153000,cold
CHS355.6x12.5,355.6,12.5,105.8,1.117,13474,8578,8578,198500000,121.4,1117000,1472000,198500000,121.4,1117000,1472000,397000000,2233000,cold
CHS355.6x16,355.6,16,134,1.117,17070,10867,10867,246600000,120.2,1387000,1847000,246600000,120.2,1387000,1847000,493300000,2774000,cold
CHS355.6x20,355.6,20,165.5,1.117,21086,13424,13424,297900000,118.9,1676000,2255000,297900000,118.9,1676000,2255000,595800000,3351000,cold
CHS406.4x6,406.4,6,59.2,1.277,7547,4805,4805,151300000,141.6,744500,962000,151300000,141.6,744500,962000,302600000,1489000,cold
CHS406.4x6.3,406.4,6.3,62.2,1.277,7919,5041,5041,158500000,141.5,780000,1009000,158500000,141.5,780000,1009000,317000000,1560000,cold
CHS406.4x8,406.4,8,78.6,1.277,10013,6374,6374,198700000,140.9,978000,1270000,198700000,140.9,978000,1270000,397500000,1956000,cold
CHS406.4x10,406.4,10,97.8,1.277,12453,7928,7928,244800000,140.2,1205000,1572000,244800000,140.2,1205000,1572000,489500000,2409000,cold
CHS406.4x12,406.4,12,116.7,1.277,14869,9466,9466,289400000,139.5,1424000,1867000,289400000,139.5,1424000,1867000,578700000,2848000,cold
CHS406.4x12.5,406.4,12.5,121.4,1.277,15468,9848,9848,300300000,139.3,1478000,1940000,300300000,139.3,1478000,1940000,600600000,2956000,cold
CHS406.4x16,406.4,16,154,1.277,19624,12493,12493,374500000,138.1,1843000,2440000,374500000,138.1,1843000,2440000,749000000,3686000,cold
CHS406.4x20,406.4,20,190.6,1.277,24278,15456,15456,454300000,136.8,2236000,2989000,454300000,136.8,2236000,2989000,908600000,4472000,cold
CHS406.4x25,406.4,25,235.1,1.277,29955,19070,19070,547000000,135.1,2692000,3642000,547000000,135.1,2692000,3642000,1094000000,5384000,cold
CHS457x6,457,6,66.7,1.436,8501,5412,5412,216200000,159.5,946100,1220000,216200000,159.5,946100,1220000,432400000,1892000,cold
CHS457x6.3,457,6.3,70,1.436,8920,5679,5679,226500000,159.4,991400,1280000,226500000,159.4,991400,1280000,453100000,1983000,cold
CHS457x8,457,8,88.6,1.436,11285,7184,7184,284500000,158.8,1245000,1613000,284500000,158.8,1245000,1613000,568900000,2490000,cold
CHS457x10,457,10,110.2,1.436,14043,8940,8940,350900000,158.1,1536000,1998000,350900000,158.1,1536000,1998000,701800000,3071000,cold
CHS457x12,457,12,131.7,1.436,16776,10680,10680,415600000,157.4,1819000,2377000,415600000,157.4,1819000,2377000,831100000,3637000,cold
CHS457x12.5,457,12.5,137,1.436,17455,11112,11112,431400000,157.2,1888000,2470000,431400000,157.2,1888000,2470000,862900000,3776000,cold
CHS457x16,457,16,174,1.436,22167,14112,14112,539600000,156,2361000,3113000,539600000,156,2361000,3113000,1079000000,4723000,cold
CHS457x20,457,20,215.5,1.436,27458,17480,17480,656800000,154.7,2874000,3822000,656800000,154.7,2874000,3822000,1314000000,5749000,cold
CHS457x25,457,25,266.3,1.436,33929,21600,21600,794200000,153,3475000,4671000,794200000,153,3475000,4671000,1588000000,6951000,cold
CHS457x30,457,30,315.9,1.436,40244,25620,25620,921700000,151.3,4034000,5479000,921700000,151.3,4034000,5479000,1843000000,8068000,cold
CHS508x6,508,6,74.3,1.596,9462,6024,6024,298100000,177.5,1174000,1512000,298100000,177.5,1174000,1512000,596200000,2347000,cold
CHS508x6.3,508,6.3,77.9,1.596,9930,6321,6321,312500000,177.4,1230000,1586000,312500000,177.4,1230000,1586000,624900000,2460000,cold
CHS508x8,508,8,98.6,1.596,12566,8000,8000,392800000,176.8,1546000,2000000,392800000,176.8,1546000,2000000,785600000,3093000,cold
CHS508x10,508,10,122.8,1.596,15645,9960,9960,485200000,176.1,1910000,2480000,485200000,176.1,1910000,2480000,970400000,3820000,cold
CHS508x12,508,12,146.8,1.596,18699,11904,11904,575400000,175.4,2265000,2953000,575400000,175.4,2265000,2953000,1151000000,4530000,cold
CHS508x12.5,508,12.5,152.7,1.596,19458,12388,12388,597600000,175.2,2353000,3070000,597600000,175.2,2353000,3070000,1195000000,4705000,cold
CHS508x16,508,16,194.1,1.596,24731,15744,15744,749100000,174,2949000,3874000,749100000,174,2949000,3874000,1498000000,5898000,cold
CHS508x20,508,20,240.7,1.596,30662,19520,19520,914300000,172.7,3600000,4766000,914300000,172.7,3600000,4766000,1829000000,7199000,cold
CHS508x25,508,25,297.8,1.596,37935,24150,24150,1109000000,171,4367000,5837000,1109000000,171,4367000,5837000,2218000000,8734000,cold
CHS508x30,508,30,353.6,1.596,45050,28680,28680,1292000000,169.3,5086000,6864000,1292000000,169.3,5086000,6864000,2583000000,10170000,cold
CHS610x6,610,6,89.4,1.916,11385,7248,7248,519200000,213.6,1702000,2189000,519200000,213.6,1702000,2189000,1038000000,3405000,cold
CHS610x6.3,610,6.3,93.8,1.916,11948,7607,7607,544400000,213.5,1785000,2296000,544400000,213.5,1785000,2296000,1089000000,3570000,cold
CHS610x8,610,8,118.8,1.916,15130,9632,9632,685500000,212.9,2248000,2899000,685500000,212.9,2248000,2899000,1371000000,4495000,cold
CHS610x10,610,10,148,1.916,18850,12000,12000,848500000,212.2,2782000,3600000,848500000,212.2,2782000,3600000,1697000000,5564000,cold
CHS610x12,610,12,177,1.916,22544,14352,14352,1008000000,211.5,3305000,4292000,1008000000,211.5,3305000,4292000,2016000000,6611000,cold
CHS610x12.5,610,12.5,184.2,1.916,23464,14938,14938,1048000000,211.3,3435000,4463000,1048000000,211.3,3435000,4463000,2095000000,6869000,cold
CHS610x16,610,16,234.4,1.916,29858,19008,19008,1318000000,210.1,4321000,5647000,1318000000,210.1,4321000,5647000,2636000000,8641000,cold
CHS610x20,610,20,291,1.916,37071,23600,23600,1615000000,208.7,5295000,6965000,1615000000,208.7,5295000,6965000,3230000000,10590000,cold
CHS610x25,610,25,360.7,1.916,45946,29250,29250,1969000000,207,6456000,8561000,1969000000,207,6456000,8561000,3938000000,12910000,cold
CHS610x30,610,30,429.1,1.916,54664,34800,34800,2305000000,205.3,7557000,10100000,2305000000,205.3,7557000,10100000,4610000000,15110000,cold
CHS711x6,711,6,104.3,2.234,13289,8460,8460,825700000,249.3,2323000,2982000,825700000,249.3,2323000,2982000,1651000000,4645000,cold
CHS711x6.3,711,6.3,109.5,2.234,13947,8879,8879,865900000,249.2,2436000,3129000,865900000,249.2,2436000,3129000,1732000000,4871000,cold
CHS711x8,711,8,138.7,2.234,17668,11248,11248,1092000000,248.6,3071000,3954000,1092000000,248.6,3071000,3954000,2183000000,6141000,cold
CHS711x10,711,10,172.9,2.234,22023,14020,14020,1353000000,247.9,3806000,4914000,1353000000,247.9,3806000,4914000,2706000000,7612000,cold
CHS711x12,711,12,206.9,2.234,26352,16776,16776,1610000000,247.2,4529000,5864000,1610000000,247.2,4529000,5864000,3220000000,9057000,cold
CHS711x12.5,711,12.5,215.3,2.234,27430,17462,17462,1673000000,247,4707000,6099000,1673000000,247,4707000,6099000,3347000000,9415000,cold
CHS711x16,711,16,274.2,2.234,34935,22240,22240,2110000000,245.8,5936000,7730000,2110000000,245.8,5936000,7730000,4221000000,11870000,cold
CHS711x20,711,20,340.8,2.234,43417,27640,27640,2594000000,244.4,7295000,9552000,2594000000,244.4,7295000,9552000,5187000000,14590000,cold
CHS711x25,711,25,422.9,2.234,53878,34300,34300,3174000000,242.7,8927000,11770000,3174000000,242.7,8927000,11770000,6347000000,17850000,cold
CHS711x30,711,30,503.8,2.234,64183,40860,40860,3728000000,241,10490000,13920000,3728000000,241,10490000,13920000,7456000000,20970000,cold
CHS762x6,762,6,111.9,2.394,14250,9072,9072,1018000000,267.3,2672000,3429000,1018000000,267.3,2672000,3429000,2036000000,5345000,cold
CHS762x6.3,762,6.3,117.4,2.394,14957,9522,9522,1068000000,267.2,2803000,3598000,1068000000,267.2,2803000,3598000,2136000000,5605000,cold
CHS762x8,762,8,148.8,2.394,18950,12064,12064,1347000000,266.6,3535000,4548000,1347000000,266.6,3535000,4548000,2694000000,7070000,cold
CHS762x10,762,10,185.5,2.394,23625,15040,15040,1670000000,265.9,4384000,5655000,1670000000,265.9,4384000,5655000,3341000000,8768000,cold
CHS762x12,762,12,222,2.394,28274,18000,18000,1989000000,265.2,5219000,6751000,1989000000,265.2,5219000,6751000,3977000000,10440000,cold
CHS762x12.5,762,12.5,231,2.394,29433,18738,18738,2067000000,265,5426000,7023000,2067000000,265,5426000,7023000,4135000000,10850000,cold
CHS762x16,762,16,294.4,2.394,37498,23872,23872,2610000000,263.8,6850000,8906000,2610000000,263.8,6850000,8906000,5219000000,13700000,cold
CHS762x20,762,20,366,2.394,46621,29680,29680,3211000000,262.4,8427000,11010000,3211000000,262.4,8427000,11010000,6422000000,16850000,cold
CHS762x25,762,25,454.4,2.394,57884,36850,36850,3935000000,260.7,10330000,13580000,3935000000,260.7,10330000,13580000,7869000000,20650000,cold
CHS762x30,762,30,541.6,2.394,68989,43920,43920,4629000000,259,12150000,16080000,4629000000,259,12150000,16080000,9257000000,24300000,cold
CHS813x8,813,8,158.8,2.554,20232,12880,12880,1639000000,284.6,4032000,5184000,1639000000,284.6,4032000,5184000,3278000000,8064000,cold
CHS813x10,813,10,198,2.554,25227,16060,16060,2034000000,283.9,5003000,6448000,2034000000,283.9,5003000,6448000,4067000000,10010000,cold
CHS813x12,813,12,237,2.554,30197,19224,19224,2422000000,283.2,5959000,7700000,2422000000,283.2,5959000,7700000,4845000000,11920000,cold
CHS813x12.5,813,12.5,246.8,2.554,31436,20012,20012,2519000000,283.1,6196000,8011000,2519000000,283.1,6196000,8011000,5037000000,12390000,cold
