,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
RHS300x150x12,300,150,12,36,24,75.4,838,9606,6404,3202,103000000,103.5,686500,883100,34980000,60.3,466400,546100,91530000,836900,hot
RHS300x150x12.5,300,150,12.5,37.5,25,78.1,836,9954,6636,3318,105900000,103.2,706300,911500,35950000,60.1,479300,563400,94520000,861800,hot
RHS300x150x16,300,150,16,48,32,96.4,818,12277,8185,4092,123900000,100.4,825800,1092000,41740000,58.3,556600,673000,113300000,1015000,hot
RHS300x200x6,300,200,6,12,6,45.2,979,5763,3458,2305,73700000,113.1,491300,587800,39620000,82.9,396200,446100,81150000,651200,hot
RHS300x200x12,300,200,12,36,24,84.8,938,10806,6484,4322,127900000,108.8,852500,1056000,68540000,79.6,685400,801200,152400000,1167000,hot
RHS350x250x6,350,250,6,12,6,54.7,1179,6963,4062,2901,124600000,133.8,711800,842600,74580000,103.5,596700,670800,145500000,966800,hot
RHS350x250x12,350,250,12,36,24,103.7,1138,13206,7703,5502,222000000,129.6,1268000,1544000,132600000,100.2,1061000,1229000,277500000,1770000,hot
RHS400x300x8,400,300,8,20,12,84.2,1366,10724,6128,4596,251200000,153.1,1256000,1487000,162100000,123,1081000,1224000,311800000,1747000,hot
RHS400x300x10,400,300,10,25,15,104.1,1357,13257,7575,5681,306100000,152,1530000,1824000,197300000,122,1315000,1501000,384100000,2132000,hot
RHS400x300x12,400,300,12,36,24,122.5,1338,15606,8918,6688,352800000,150.4,1764000,2122000,227500000,120.7,1516000,1747000,455300000,2492000,hot
RHS400x300x12.5,400,300,12.5,37.5,25,127.2,1336,16204,9260,6945,364900000,150.1,1824000,2198000,235200000,120.5,1568000,1810000,472400000,2580000,hot
RHS400x300x16,400,300,16,48,32,159.2,1318,20277,11587,8690,443500000,147.9,2218000,2708000,285400000,118.6,1902000,2228000,587300000,3159000,hot
