Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS350x250x12.5,350.0,250.0,12.5,37.5,25.0,107.6,1136.0,13704.0,7994.0,5710.0,229200000.0,129.3,1310000.0,1598000.0,136900000.0,99.9,1095000.0,1272000.0,287600000.0,1830000.0
RHS350x250x16,350.0,250.0,16.0,48.0,32.0,134.1,1118.0,17077.0,9962.0,7116.0,275800000.0,127.1,1576000.0,1954000.0,164300000.0,98.1,1315000.0,1554000.0,355000000.0,2220000.0
RHS400x200x8,400.0,200.0,8.0,20.0,12.0,71.6,1166.0,9124.0,6083.0,3041.0,189700000.0,144.2,948700.0,1173000.0,65170000.0,84.5,651700.0,728100.0,158200000.0,1133000.0
RHS400x200x12.5,400.0,200.0,12.5,37.5,25.0,107.6,1136.0,13704.0,9136.0,4568.0,271000000.0,140.6,1355000.0,1714000.0,92600000.0,82.2,926000.0,1062000.0,235900000.0,1644000.0
RHS400x200x16,400.0,200.0,16.0,48.0,32.0,134.1,1118.0,17077.0,11385.0,5692.0,325500000.0,138.1,1627000.0,2093000.0,110600000.0,80.5,1106000.0,1294000.0,289300000.0,1984000.0
RHS400x300x8,400.0,300.0,8.0,20.0,12.0,84.2,1366.0,10724.0,6128.0,4596.0,251200000.0,153.1,1256000.0,1487000.0,162100000.0,123.0,1081000.0,1224000.0,311800000.0,1747000.0
RHS400x300x10,400.0,300.0,10.0,25.0,15.0,104.1,1357.0,13257.0,7575.0,5681.0,306100000.0,152.0,1530000.0,1824000.0,197300000.0,122.0,1315000.0,1501000.0,384100000.0,2132000.0
RHS400x300x12,400.0,300.0,12.0,36.0,24.0,122.5,1338.0,15606.0,8918.0,6688.0,352800000.0,150.4,1764000.0,2122000.0,227500000.0,120.7,1516000.0,1747000.0,455300000.0,2492000.0
RHS400x300x12.5,400.0,300.0,12.5,37.5,25.0,127.2,1336.0,16204.0,9260.0,6945.0,364900000.0,150.1,1824000.0,2198000.0,235200000.0,120.5,1568000.0,1810000.0,472400000.0,2580000.0
RHS400x300x16,400.0,300.0,16.0,48.0,32.0,159.2,1318.0,20277.0,11587.0,8690.0,443500000.0,147.9,2218000.0,2708000.0,285400000.0,118.6,1902000.0,2228000.0,587300000.0,3159000.0
