Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS193.7x14.2,193.7,14.2,62.9,609.0,8008.0,5098.0,32450000.000000004,63.7,335100.0,458500.0,64910000.0,670200.0
CHS193.7x16,193.7,16.0,70.1,609.0,8932.0,5686.0,35540000.0,63.1,367000.0,506600.0,71090000.0,734000.0
CHS219.1x5,219.1,5.0,26.4,688.0,3363.0,2141.0,19280000.0,75.7,176000.0,229200.0,38560000.0,352000.0
CHS219.1x6.3,219.1,6.3,33.1,688.0,4212.0,2681.0,23860000.0,75.3,217800.0,285400.0,47720000.0,435600.0
CHS219.1x8,219.1,8.0,41.6,688.0,5306.0,3378.0,29600000.0,74.7,270200.0,356700.0,59190000.0,540300.0
CHS219.1x10,219.1,10.0,51.6,688.0,6569.0,4182.0,35980000.0,74.0,328500.0,437600.0,71970000.0,656900.0
CHS219.1x12.5,219.1,12.5,63.7,688.0,8113.0,5165.0,43450000.0,73.2,396600.0,534200.0,86890000.0,793200.0
CHS219.1x14.2,219.1,14.2,71.8,688.0,9141.0,5819.0,48200000.0,72.6,440000.0,597100.0,96400000.0,880000.0
CHS219.1x16,219.1,16.0,80.1,688.0,10209.0,6499.0,52970000.0,72.0,483500.0,661400.0,105900000.0,967000.0
CHS219.1x20,219.1,20.0,98.2,688.0,12510.0,7964.0,62610000.0,70.7,571500.0,795500.0,125200000.0,1143000.0
CHS244.5x5,244.5,5.0,29.5,768.0,3762.0,2395.0,26990000.0,84.7,220700.0,286800.0,53970000.0,441500.0
CHS244.5x6.3,244.5,6.3,37.0,768.0,4714.0,3001.0,33460000.0,84.2,273700.0,357500.0,66920000.0,547400.0
CHS244.5x8,244.5,8.0,46.7,768.0,5944.0,3784.0,41600000.0,83.7,340300.0,447600.0,83210000.0,680600.0
CHS244.5x10,244.5,10.0,57.8,768.0,7367.0,4690.0,50730000.0,83.0,415000.0,550200.0,101500000.0,830000.0
CHS244.5x12.5,244.5,12.5,71.5,768.0,9111.0,5800.0,61470000.0,82.1,502900.0,673500.0,122900000.0,1006000.0
CHS244.5x14.2,244.5,14.2,80.6,768.0,10274.0,6541.0,68370000.0,81.6,559300.0,754100.0,136700000.0,1119000.0
CHS244.5x16,244.5,16.0,90.2,768.0,11486.0,7312.0,75330000.0,81.0,616200.0,836800.0,150700000.0,1232000.0
