,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS711x6.3,711,6.3,109.5,2234,13947,8879,865900000,249.2,2436000,3129000,1732000000,4871000
CHS711x8,711,8,138.7,2234,17668,11248,1092000000,248.6,3071000,3954000,2183000000,6141000
CHS711x10,711,10,172.9,2234,22023,14020,1353000000,247.9,3806000,4914000,2706000000,7612000
CHS711x12,711,12,206.9,2234,26352,16776,1610000000,247.2,4529000,5864000,3220000000,9057000
CHS711x12.5,711,12.5,215.3,2234,27430,17462,1673000000,247,4707000,6099000,3347000000,9415000
CHS711x16,711,16,274.2,2234,34935,22240,2110000000,245.8,5936000,7730000,4221000000,11870000
CHS711x20,711,20,340.8,2234,43417,27640,2594000000,244.4,7295000,9552000,5187000000,14590000
CHS711x25,711,25,422.9,2234,53878,34300,3174000000,242.7,8927000,11770000,6347000000,17850000
CHS711x30,711,30,503.8,2234,64183,40860,3728000000,241,10490000,13920000,7456000000,20970000
CHS762x6,762,6,111.9,2394,14250,9072,1018000000,267.3,2672000,3429000,2036000000,5345000
CHS762x6.3,762,6.3,117.4,2394,14957,9522,1068000000,267.2,2803000,3598000,2136000000,5605000
CHS762x8,762,8,148.8,2394,18950,12064,1347000000,266.6,3535000,4548000,2694000000,7070000
CHS762x10,762,10,185.5,2394,23625,15040,1670000000,265.9,4384000,5655000,3341000000,8768000
CHS762x12,762,12,222,2394,28274,18000,1989000000,265.2,5219000,6751000,3977000000,10440000
CHS762x12.5,762,12.5,231,2394,29433,18738,2067000000,265,5426000,7023000,4135000000,10850000
CHS762x16,762,16,294.4,2394,37498,23872,2610000000,263.8,6850000,8906000,5219000000,13700000
CHS762x20,762,20,366,2394,46621,29680,3211000000,262.4,8427000,11010000,6422000000,16850000
CHS762x25,762,25,454.4,2394,57884,36850,3935000000,260.7,10330000,13580000,7869000000,20650000
CHS762x30,762,30,541.6,2394,68989,43920,4629000000,259,12150000,16080000,9257000000,24300000
