,b,t,ro,ri,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[×106mm4],[mm],[×103mm3],[×103mm3],[×103mm4],[×103mm3]
SHS140/5,140,5,7.5,5,21,0.547,2673,1337,8.075,55,115.4,134.8,12530,169.9
SHS140/6.3,140,6.3,9.4,6.3,26.1,0.544,3327,1663,9.839,54.4,140.6,166,15400,206.2
SHS140/8,140,8,12,8,32.6,0.539,4155,2078,11.95,53.6,170.7,204.3,18920,249.3
SHS140/10,140,10,15,10,40,0.534,5093,2546,14.16,52.7,202.3,246.1,22720,294.1
SHS140/12.5,140,12.5,18.8,12.5,48.7,0.528,6207,3104,16.53,51.6,236.1,293.3,26960,341.6
SHS150/5,150,5,7.5,5,22.6,0.587,2873,1437,10.02,59,133.6,155.7,15500,196.9
SHS150/6.3,150,6.3,9.4,6.3,28.1,0.584,3579,1789,12.23,58.5,163.1,192,19090,239.6
SHS150/8,150,8,12,8,35.1,0.579,4475,2238,14.91,57.7,198.7,236.9,23510,290.6
SHS150/10,150,10,15,10,43.1,0.574,5493,2746,17.73,56.8,236.4,286,28320,344.2
SHS150/12.5,150,12.5,18.8,12.5,52.7,0.568,6707,3354,20.8,55.7,277.4,342.1,33750,401.9
SHS150/14.2,150,14.2,21.3,14.2,58.9,0.563,7497,3749,22.62,54.9,301.5,376.9,37070,435.7
SHS150/16,150,16,24,16,65.2,0.559,8301,4151,24.3,54.1,324,410.7,40260,467
SHS160/5,160,5,7.5,5,24.1,0.627,3073,1537,12.25,63.1,153.1,178.1,18920,225.9
SHS160/6.3,160,6.3,9.4,6.3,30.1,0.624,3831,1915,14.99,62.6,187.4,219.9,23330,275.5
SHS160/8,160,8,12,8,37.6,0.619,4795,2398,18.31,61.8,228.9,271.8,28800,335.2
SHS160/10,160,10,15,10,46.3,0.614,5893,2946,21.86,60.9,273.2,329,34780,398.3
